module,file,kind,class,name,signature,async
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_FunctionDef,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_AsyncFunctionDef,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_Assign,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,CallCollector,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,CallCollector,__init__,"(self, mi)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,CallCollector,visit_ClassDef,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,CallCollector,visit_FunctionDef,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,CallCollector,visit_AsyncFunctionDef,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,CallCollector,visit_Call,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,CollMap,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,Analyzer,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,__init__,"(self, root, exclude, exclude_glob, strict_config, project_only=True)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,_is_glob_excluded,"(self, path)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,walk,(self),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,index,"(self, files)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,ensure_indexed,"(self, module)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,locate,"(self, fq)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,_check_sig,"(self, defsig, given_pos, given_kw)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,_target_kind_from_sig,"(self, sig, fq)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,resolve_self_chain,"(self, call)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,locate_def,"(self, fq)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,resolve_call,"(self, c)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,scan_configs,"(self, cfg_files, strict)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,analyze,(self),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,report_data,(self),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,Analyzer,report_md,"(self, res)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,parse_args,(),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,main,(),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,is_py,(path),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,to_module,"(root, file_path)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,read_file,(p),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,dotted_attr,(node),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,arg_summary,(node),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,scan_files,"(root, exclude_dirs, exclude_glob)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,build_file_tree_md,"(root, files)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,extract_sig,"(fn, is_method)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,build_symbol_db,"(root, files)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,write_symbol_md,"(root, db, out_md)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,class,,Problem,,False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,import_table,"(tree, cur_module)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,ensure_in_db,"(db, module)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,class_has_method,"(db, module, cls, method)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,synth_init_sig,(),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,get_sig,"(db, module, fq)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,pretty_sig,(sig),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,check_sig,"(sig, given_pos, given_kw)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,target_kind_from_sig,"(sig, fq)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,verify_with_db,"(root, files, db)",False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,parse_args,(),False
ClaudeDex.xref_symbol_db,ClaudeDex/xref_symbol_db.py,function,,main,(),False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,class,,DeveloperRisk,,False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,class,,ProjectStatus,,False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,class,,DeveloperProfile,,False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,class,,ProjectAnalysis,,False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,class,,DeveloperAnalyzer,,False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,__init__,"(self, config)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,initialize,(self),True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,analyze_developer,"(self, address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,analyze_project,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_get_developer_history,"(self, address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_analyze_previous_projects,"(self, history)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_check_social_presence,"(self, address)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_find_associated_wallets,"(self, address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_find_aliases,"(self, address, associated_wallets)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_calculate_reputation,"(self, projects, social, history)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_determine_risk_level,"(self, reputation, projects)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_analyze_code_quality,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_get_project_data,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_get_project_developer,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_check_liquidity_status,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_get_holder_statistics,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_analyze_community_metrics,"(self, project_address)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_calculate_transparency_score,"(self, project_data, liquidity)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_identify_red_flags,"(self, project_data, liquidity, holders, developer)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_identify_green_flags,"(self, project_data, liquidity, holders, code_quality)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_find_similar_projects,"(self, project_address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_calculate_project_score,"(self, code_quality, community_score, transparency, red_flags_count, green_flags_count)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_determine_project_status,"(self, project_data, liquidity, holders)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_load_developer_database,(self),True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_create_rugger_profile,"(self, address)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_create_trusted_profile,"(self, address)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_log_developer_summary,"(self, profile)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,check_developer_reputation,"(self, address, chain)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,_get_recommendation,"(self, profile)",False
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,monitor_developer,"(self, address, chain, interval=3600, callback=None)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,batch_analyze_developers,"(self, developers)",True
ClaudeDex.analysis.dev_analyzer,ClaudeDex/analysis/dev_analyzer.py,method,DeveloperAnalyzer,get_risk_summary,"(self, profile)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,class,,LiquidityEvent,,False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,class,,SlippageEstimate,,False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,class,,LiquidityMonitor,,False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,__init__,"(self, db_manager, cache_manager, event_bus, alerts, config)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,start_monitoring,"(self, tokens)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,stop_monitoring,"(self, token=None)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,monitor_liquidity_changes,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,detect_liquidity_removal,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,calculate_slippage,"(self, amount, liquidity_data)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,calculate_slippage_async,"(self, token, chain, amount, is_buy=True)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,analyze_liquidity_locks,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,get_liquidity_providers,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_monitor_token_liquidity,"(self, token)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_amm_slippage,"(self, liquidity_data, amount, is_buy)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_determine_slippage_risk,"(self, slippage)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_slippage_recommendation,"(self, slippage, price_impact, liquidity_depth)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_send_liquidity_alert,"(self, token, chain, analysis, severity)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,monitor_liquidity,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,get_liquidity_depth,"(self, pair_address)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,get_liquidity_depth_extended,"(self, pair_address, chain='ethereum')",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,track_liquidity_changes,"(self, token)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,track_liquidity_changes_extended,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,calculate_slippage_sync,"(self, amount, liquidity_data)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_current_liquidity,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_liquidity_changes,"(self, current, history)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_detect_liquidity_anomalies,"(self, changes, history)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_liquidity_health,"(self, liquidity)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_emit_liquidity_event,"(self, token, chain, changes)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_liquidity_transactions,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_is_suspicious_wallet,"(self, wallet)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_removal_risk_score,"(self, analysis)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_detect_rug_patterns,"(self, token, chain, analysis)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_removal_recommendation,"(self, analysis)",False
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_liquidity_depth,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_pool_data,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_orderbook_slippage,"(self, liquidity_data, amount, is_buy)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_price_impact,"(self, liquidity_data, amount, is_buy)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_check_lock_platform,"(self, token, chain, platform)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_lp_token_holders,"(self, lp_token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_is_lp_locked,"(self, address)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_recent_price_volume,"(self, token, chain, minutes)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_realtime_data,"(self, token, chain)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_momentum_indicators,"(self, data)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_calculate_pump_metrics,"(self, data, price_spike, volume_spike)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_estimate_remaining_potential,"(self, data, metrics)",True
ClaudeDex.analysis.liquidity_monitor,ClaudeDex/analysis/liquidity_monitor.py,method,LiquidityMonitor,_get_exit_recommendation,"(self, metrics, potential)",False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,class,,MarketCondition,,False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,class,,TrendAnalysis,,False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,class,,CorrelationMatrix,,False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,class,,MarketAnalyzer,,False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,__init__,"(self, db_manager, cache_manager, event_bus, ml_model, config)",False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,analyze_market_conditions,"(self, tokens=None, chain='ethereum')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,identify_trends,"(self, token, chain='ethereum', timeframe='1h')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,calculate_correlations,"(self, tokens, chain='ethereum', period=30)",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,detect_market_regime,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,find_market_inefficiencies,"(self, tokens, chain='ethereum')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,analyze_volume_patterns,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_calculate_market_metrics,"(self, market_data)",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_determine_market_trend,"(self, metrics)",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_calculate_market_volatility,"(self, metrics)",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_identify_correlation_clusters,"(self, correlation_matrix, threshold=0.7)",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_calculate_market_risk,"(self, volatility, liquidity, sentiment)",False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_detect_volume_spikes,"(self, df)",False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,_get_regime_recommendation,"(self, regime)",False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,analyze_market,"(self, chain='ethereum')",True
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,calculate_market_sentiment,(self),False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,identify_market_trends,(self),False
ClaudeDex.analysis.market_analyzer,ClaudeDex/analysis/market_analyzer.py,method,MarketAnalyzer,get_market_indicators,(self),True
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,class,,PumpSignal,,False
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,class,,PumpPattern,,False
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,class,,PumpPredictorAnalysis,,False
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,__init__,"(self, db_manager, cache_manager, event_bus, ml_predictor, market_analyzer, config)",False
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,predict_pump,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,detect_ongoing_pump,"(self, token, chain='ethereum')",True
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,analyze_pump_history,"(self, token, chain='ethereum', days=30)",True
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,monitor_pump_completion,"(self, signal)",True
ClaudeDex.analysis.pump_predictor,ClaudeDex/analysis/pump_predictor.py,method,PumpPredictorAnalysis,_gather_prediction_data,"(self, token, chain)",True
